"ID","Height.meters","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14"
1,1.81,0,1,0,1,1,1,1,0,1,1,1,0,1,0
2,1.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1.8,0,0,1,1,0,0,1,0,1,1,0,1,0,1
4,1.78,0,1,1,1,1,0,1,0,1,1,0,1,0,1
5,1.66,0,0,0,0,0,0,1,0,1,1,0,0,0,0
6,1.67,0,0,0,0,0,0,1,0,1,1,0,0,0,0
7,1.58,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,1.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,1.71,0,0,1,0,0,0,1,0,1,1,0,1,0,1
10,1.63,0,0,0,0,0,0,1,0,1,0,0,0,0,1
11,1.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1.7,0,0,0,0,0,0,1,0,1,0,1,1,0,0
13,1.6,1,0,0,0,0,0,1,0,1,1,1,1,0,0
14,1.62,0,0,0,0,1,0,0,0,1,0,0,0,0,0
15,1.81,0,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.69,0,0,0,0,0,0,1,0,1,0,0,1,0,0
17,1.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,1.55,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,1.7,0,0,0,1,0,1,1,0,1,1,1,1,0,1
21,1.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1.75,0,1,0,0,0,0,0,0,1,0,1,0,1,0
28,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.74,0,0,0,0,0,0,0,0,1,1,1,0,1,0
31,1.62,0,0,0,1,0,0,0,0,1,1,0,0,0,0
32,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.84,0,1,0,0,0,0,1,0,1,1,1,1,0,1
34,1.75,0,0,1,0,0,1,1,0,1,1,1,1,1,1
35,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.63,0,0,0,0,0,0,1,0,1,0,0,0,0,0
37,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0
39,1.89,0,0,1,1,1,1,1,0,1,1,1,1,1,1
40,1.78,0,1,1,0,0,0,1,0,1,1,0,0,0,0
41,1.71,0,0,1,1,0,0,0,0,1,0,0,0,0,0
42,1.79,1,0,0,1,1,0,1,0,1,1,0,1,1,0
43,1.65,1,0,0,1,0,0,0,0,1,0,1,0,0,0
44,1.87,0,0,1,0,1,0,1,0,1,1,1,1,1,1
45,1.65,1,0,1,1,1,0,1,0,1,0,0,0,0,0
46,1.77,1,0,0,0,0,0,0,0,1,0,0,1,0,0
47,1.69,1,0,0,0,0,0,0,0,1,0,0,0,0,0
48,1.52,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49,1.7,1,0,1,0,0,0,1,0,1,1,0,0,1,1
50,1.8,0,1,1,0,1,0,1,0,1,1,0,1,1,0
51,1.71,0,0,0,1,0,0,0,0,1,0,1,0,0,0
52,1.8,0,1,0,1,0,0,1,0,1,1,0,1,1,1
53,1.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,1.86,1,1,1,0,1,1,1,0,1,1,0,1,1,1
55,1.88,0,1,1,1,0,1,1,0,1,1,1,1,1,1
56,1.8,0,1,0,0,0,1,1,0,1,1,0,1,0,1
57,1.64,0,0,0,0,0,0,1,0,1,0,1,0,0,0
58,1.76,0,1,0,0,0,0,0,0,0,0,0,1,0,0
59,1.86,0,0,0,1,0,1,1,0,1,1,1,1,1,1
60,1.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,1.82,0,1,0,0,0,0,1,0,1,1,1,1,0,1
62,1.67,0,0,0,1,0,1,0,1,0,0,0,0,0,0
63,1.85,0,1,0,1,1,0,1,0,1,1,1,1,1,1
64,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1.7,0,0,0,0,0,0,1,0,1,1,0,1,0,1
66,1.85,0,1,1,1,1,0,1,0,1,1,1,1,1,1
67,1.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,1.9,0,1,1,1,1,0,1,0,1,1,1,1,1,1
69,1.82,0,0,1,0,1,1,1,1,1,1,1,1,0,1
70,1.71,1,1,0,0,0,0,1,1,1,0,0,0,0,1
71,1.92,1,1,0,0,0,1,1,0,0,1,1,1,1,1
72,1.67,0,1,0,0,0,0,0,0,1,0,1,0,0,0
73,1.69,1,0,0,0,1,0,1,0,1,1,0,0,0,0
74,1.74,1,0,1,0,0,0,1,0,1,0,0,1,0,1
75,1.6,1,0,0,0,0,0,1,0,1,0,1,0,0,0
76,1.8,1,1,1,0,0,0,1,0,NA,1,0,1,1,0
77,1.79,0,1,0,0,1,0,1,0,NA,1,0,1,0,NA
78,1.78,0,1,1,1,0,0,0,0,NA,1,1,0,0,1
79,1.79,1,0,1,0,0,0,1,0,1,1,0,1,0,0
80,1.83,1,1,0,0,1,0,1,0,1,1,0,1,1,0
81,1.72,0,1,0,0,0,0,1,0,1,1,0,0,0,0
82,1.64,0,1,0,1,0,0,0,0,1,0,0,0,0,0
83,1.61,1,0,0,0,0,0,0,0,NA,0,1,1,0,0
84,1.71,1,0,0,0,1,1,1,0,1,1,1,1,1,1
85,1.74,1,0,0,0,0,0,0,0,1,1,1,1,0,1
86,1.56,0,0,0,0,0,0,0,0,1,0,1,0,0,0
87,1.84,0,0,1,1,1,1,1,0,1,1,1,1,1,1
88,1.67,1,0,1,0,0,1,1,0,1,1,1,0,0,0
89,1.8,1,0,0,0,0,1,1,1,1,1,1,1,1,1
90,1.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,1.75,0,0,0,1,0,0,1,0,1,1,1,1,0,1
92,1.83,0,0,1,0,1,0,1,0,1,1,1,1,1,1
93,1.6,1,0,0,0,0,0,0,0,0,0,1,1,1,1
94,1.57,1,0,0,0,0,0,0,0,NA,1,0,0,0,0
95,1.68,0,1,1,0,0,0,1,0,NA,1,0,1,0,1
96,1.72,0,0,0,1,0,0,1,0,0,1,0,0,0,0
97,1.63,1,0,0,0,0,0,0,1,0,0,0,0,1,0
98,1.8,0,1,0,1,1,1,1,1,1,1,1,1,0,1
99,1.66,0,1,0,0,0,0,0,0,1,0,0,1,0,0
100,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1.7,1,1,0,0,0,0,1,0,1,0,0,1,0,1
102,1.63,0,1,0,0,0,0,1,0,0,0,0,0,0,0
103,1.67,0,0,0,1,0,0,1,0,0,0,1,0,0,0
104,1.6,1,0,0,0,0,0,0,0,1,1,1,0,0,0
105,1.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,1.7,0,1,0,1,0,0,0,0,0,1,0,0,0,0
107,1.64,0,0,0,0,0,0,0,0,1,0,1,0,0,0
108,1.58,0,0,0,0,0,0,0,0,0,0,1,1,0,0
109,1.76,1,0,0,1,0,1,0,0,1,1,1,1,0,0
110,1.76,0,0,0,0,0,0,1,0,0,1,0,1,0,1
111,1.63,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,1.63,1,0,0,1,1,0,1,0,0,0,0,1,0,0
113,1.72,0,0,0,0,0,0,1,0,1,0,0,1,0,1
114,1.83,0,0,0,0,1,1,1,0,0,0,1,1,1,1
115,1.73,0,0,0,0,0,0,1,0,1,0,1,1,1,0
116,1.6,1,0,0,0,0,0,0,0,0,0,1,0,1,0
117,1.7,1,0,0,0,0,0,1,0,1,1,0,0,0,0
118,1.57,0,0,0,0,0,0,0,0,0,0,0,1,1,0
119,1.83,0,1,0,1,1,1,1,1,1,1,1,1,1,1
120,1.61,0,0,0,0,0,0,0,0,1,0,1,0,0,0
121,1.78,0,0,0,1,0,0,0,0,0,1,1,1,1,0
122,1.61,0,0,0,0,1,0,1,0,0,1,1,1,0,0
123,1.62,0,0,0,0,1,1,1,0,0,0,0,0,0,0
124,1.61,0,0,0,0,0,0,1,0,0,1,0,1,0,0
125,1.7,0,0,0,0,1,1,1,0,1,1,1,0,1,0
126,1.66,0,1,1,1,0,0,0,0,1,1,1,0,1,1
127,1.78,0,0,0,0,1,0,1,0,1,1,0,1,0,0
128,1.7,1,0,1,1,0,0,1,0,0,1,1,1,0,1
129,1.7,0,0,0,0,0,0,0,0,1,0,0,1,0,1
130,1.68,0,0,0,1,0,0,0,0,0,0,1,0,0,0
131,1.53,0,0,0,0,0,1,0,0,0,0,0,0,1,0
132,1.71,1,0,1,1,0,1,1,0,1,1,1,1,1,1
133,1.65,0,0,1,1,0,1,1,0,1,1,1,0,0,0
134,1.61,1,1,1,0,0,0,0,0,1,0,0,0,0,0
135,1.67,0,1,0,1,0,0,1,0,1,1,0,0,0,0
136,1.59,0,0,0,0,0,0,0,0,0,0,0,0,1,1
