Ocean,Group,Island,Native bird species,Extant Natives,Extinct historic natives,Extinct island endemic,island endemic,extinct non-endemic,non-endemic,Alien bird species,number native bird species threatened ,island area,island elevation,first colonization date,isolation,latitude,exotic mammal species,predators,herbivores,Latitude (Matched),Longitude,Population
Atlantic,Canaries,Alegranza,21,18,3,2,4,1,17,0,0,13.4,289,2000,90,28,0,0,0,39.701875, -31.101667,0
Atlantic,GulfofGuinea,Annobon,10,9,1,0,3,1,7,1,1,17,670,520,220,-3,0,0,0,-1.416667, 5.633333,5000
Atlantic,Ascension,Ascension,12,11,1,1,6,0,6,4,1,97,859,300,1500,-7,5,2,3,-7.933333, -14.366667,1100
Atlantic,Bermuda,Bermuda,14,11,3,1,3,2,11,9,1,39.3,79,500,920,33,5,5,0,32.3, -64.783333,64806
Atlantic,CapeVerdes,Boavista,18,17,1,0,1,1,17,1,0,634.1,390,550,500,16.5,2,2,0,16.103314, -22.803497,6233
Atlantic,CapeVerdes,Branco,9,9,0,0,1,0,8,0,0,.,.,550,500,16.5,1,1,0,16.65, -24.683333,0
Atlantic,CapeVerdes,Brava,19,17,2,1,4,1,15,1,0,66.6,976,550,500,16.5,3,3,0,14.866667, -24.7,6043
Atlantic,Azores,Corvo,11,11,0,0,0,0,11,2,0,20,777,500,1300,48,1,1,0,39.701875, -31.101667,468
Atlantic,Canaries,ElHierro,40,39,1,0,5,1,35,0,0,290.5,1500,2000,90,28,5,4,1,27.75, -18,10162
Atlantic,Azores,Faial,16,16,0,0,0,0,16,5,0,182.4,1045,500,1300,48,3,2,1,38.575833, -28.7125,14875
Atlantic,Azores,Flores,14,14,0,0,0,0,14,2,0,153.3,915,500,1300,48,2,1,1,39.466667, -31.227222,1831000
Atlantic,CapeVerdes,Fogo,16,16,0,0,3,0,13,2,0,474.8,2829,550,500,16.5,2,2,0,14.933, -24.383,2706
Atlantic,Canaries,Fuerteventura,44,42,1,2,6,0,38,4,1,1633.3,807,2000,90,28,7,6,1,28.333333, -14.016667,103167
Atlantic,Canaries,Gomera,45,43,2,0,6,2,39,1,1,359.1,1487,2000,90,28,5,4,1,28.1, -17.133333,21952
Atlantic,Azores,Graciosa,14,14,0,0,0,0,14,3,0,69.9,402,500,1300,48,2,1,1,39.051389, -28.014167,4777
Atlantic,Canaries,Graciosa,22,20,2,1,2,1,20,0,0,30.6,266,2000,90,28,0,0,0,29.25, -13.508,681
Atlantic,Canaries,GranCanaria,53,50,3,1,5,2,48,4,0,1529.9,1426,2000,90,28,6,5,1,27.966667, -15.6,838397
Atlantic,CapeVerdes,IdoRombo,11,11,0,0,2,0,9,1,0,.,.,550,500,16.5,2,2,0,,,
Atlantic,SouthAtlantic,Inaccessible,20,20,0,0,14,0,6,0,7,20,600,500,2800,-37,3,1,2,-37.3, -12.68,0
Atlantic,Canaries,Lanzarote,38,35,2,2,4,1,34,2,0,790.5,670,2000,90,28,5,4,1,29.035, -13.633,142132
Atlantic,Canaries,LaPalma,39,38,0,1,7,0,32,3,1,690.2,2423,2000,90,28,5,4,1,28.666667, -17.866667,86528
Atlantic,Canaries,Lobos,16,14,2,1,2,1,14,0,0,4.6,122,2000,90,28,0,0,0,28.748, -13.822,0
Atlantic,Madeira,Madeira,32,32,0,0,5,0,27,2,1,749.4,1861,2000,600,33,6,3,3,32.651111, -16.909722,267785
Atlantic,CapeVerdes,Maio,16,16,0,0,1,0,15,1,0,279,436,550,500,16.5,1,1,0,15.225833, -23.165556,8303
Atlantic,Canaries,MontañaClara,13,11,2,1,2,1,11,0,0,.,.,2000,90,28,0,0,0,29.299, -13.535,0
Atlantic,SouthAtlantic,Nightingale,16,16,0,0,10,0,6,0,4,3,400,500,2800,-37,0,0,0,-37.419444, -12.477778,0
Atlantic,Azores,Pico,17,17,0,0,1,0,16,3,0,461.4,2351,500,1300,48,3,2,1,38.471944, -28.863889,15761
Atlantic,Madeira,PortoSanto,32,32,0,0,5,0,27,1,0,43.9,93,2000,600,33,1,0,1,33.084444, -16.322222,5483
Atlantic,GulfofGuinea,Principe,39,38,1,0,11,1,28,0,1,148.5,948,520,130,2,0,0,0,1.616667, 7.4,5000
