b0,b1,sig2
0.056100158,0.068738299,0.667652584
0.032793027,0.069690833,0.769630649
0.233758636,0.062478679,0.878348096
0.083247449,0.068355707,0.477945714
-0.009356866,0.0631786,0.604238543
0.021895665,0.067950741,0.734235395
0.001833974,0.065278473,0.610440906
0.366427609,0.061706347,0.85373145
0.124690565,0.071256206,0.663723335
-0.114533323,0.064595132,0.572071463
0.181436091,0.06446901,0.526271295
0.272418978,0.062592618,0.814193933
0.252728015,0.0581578,0.619710469
-0.024236228,0.060809553,0.737397508
0.351039846,0.055376153,0.466250962
0.385208755,0.062124693,0.62785201
0.372972856,0.060655575,0.574521718
0.08688802,0.06911918,0.44782948
0.082953447,0.063125069,0.488555176
0.203471117,0.06374659,0.565781856
-0.02410709,0.062534721,0.581142429
0.175015639,0.065330645,0.687843735
0.095076562,0.065242016,0.653706089
0.039681404,0.062177674,0.697692202
0.090617786,0.063097501,0.602171193
0.327069013,0.058027714,0.769138219
0.430462623,0.056845727,0.625096564
0.229506017,0.055511266,0.635572655
0.146102836,0.060827625,1.004086297
0.373248802,0.059412331,0.518253078
0.39416609,0.065706094,0.501153317
-0.017148707,0.06517497,0.561669496
0.1004194,0.062885262,0.590068408
-0.009312216,0.06689461,0.547962447
0.08638042,0.063267121,0.597502387
-0.115500897,0.071205797,0.57035392
-0.000641185,0.072683318,0.888924473
-0.028935248,0.064907565,0.517259418
0.266218719,0.066701513,0.672440275
-0.00507295,0.067942572,0.709151857
-0.087431964,0.070581933,0.649053831
0.158371368,0.070368988,0.731767139
-0.260789724,0.071417355,0.822272439
0.12727077,0.06169143,0.585889479
0.107162509,0.058912962,0.792323433
0.151209884,0.066786993,0.528339407
0.077311777,0.061273777,0.938492608
0.246048918,0.063092826,0.577058665
0.268156278,0.060382918,0.795942105
0.139078012,0.070604606,0.783846976
-0.075474362,0.067566621,0.563387119
-0.134805609,0.069797588,0.565690322
0.214637987,0.058113541,0.741389317
0.18294588,0.059612929,0.724482935
0.269218695,0.060744585,0.530613386
0.230358847,0.05911108,0.566336182
0.291080213,0.06056901,0.955554081
0.116531888,0.069228289,0.522469556
-0.01002206,0.070903421,0.679425522
0.036925782,0.063948695,0.709845382
0.185265248,0.058125302,1.212123126
0.440727926,0.060260508,0.645056899
0.160876583,0.060006491,0.661688954
0.089102363,0.066954344,0.589506231
0.111759621,0.065881812,0.541300798
-0.138856242,0.066055068,0.760815425
-0.243928407,0.080714036,0.747869253
-0.25618141,0.073908152,0.499370508
-0.099612942,0.071565253,0.668386356
-0.199104879,0.069779924,0.584056539
-0.320378753,0.072985526,0.790487624
0.030550341,0.065761342,0.85686261
0.130656352,0.057064543,1.145919546
0.355582379,0.069573813,0.799304868
-0.051089709,0.067761153,1.023986051
0.111261176,0.060117286,0.616856353
0.103800453,0.066428538,0.664989301
0.065204961,0.061108167,0.735966465
0.026886523,0.072851513,0.531629042
-0.155594697,0.07107035,0.607785488
0.017025107,0.064672942,0.65716626
0.096132589,0.069599791,1.148815592
-0.174988566,0.072044204,0.642129182
-0.054003985,0.066953905,0.689790916
0.124320213,0.065305716,0.576383563
0.195898735,0.062457097,0.482927915
0.169513021,0.061779308,0.94336028
-0.052870177,0.066206184,0.736394342
-0.004741801,0.062530082,0.929525356
0.372584444,0.06346903,0.717619214
0.11189362,0.061782089,0.648805338
0.287274042,0.064468168,0.827645247
-0.03078544,0.062884889,0.792828127
0.161352688,0.067625121,0.60147535
0.023822102,0.066874296,0.877427902
0.084000336,0.0641493,0.530779098
-0.150532366,0.071722171,0.555015343
0.06569149,0.068362959,0.654287541
0.028753592,0.066818642,0.881381682
0.012733093,0.070401063,0.650613518
-0.005456552,0.063778572,0.715192659
-0.186815029,0.070514486,0.554279697
0.004920949,0.064213183,0.799570454
0.136769524,0.064370564,0.564210502
-0.015236861,0.069372848,0.569299299
-0.006189767,0.075352372,0.82034393
-0.087990104,0.064828904,0.877582751
-0.033390899,0.066496468,0.618813694
0.079948008,0.060014608,0.687395348
0.30783404,0.067894072,0.88096867
0.17624436,0.060728927,0.513119034
