basin.id,cropland,nitrate
1,2.5,0.647
2,1.3,1.062
3,14.3,1.432
4,0.5,0.579
5,45.6,3.561
6,46.6,3.938
7,1.5,0.927
8,53.6,2.549
9,4.1,0.357
10,3.1,0.245
11,4,0.148
12,56.6,4.186
13,4.5,0.18
14,6.3,0.52
15,8.9,0.514
16,43.8,3.486
17,70,4.67
18,65.3,4.989
19,57.2,4.225
20,73.9,6.665
21,62.4,4.243
22,54.2,4.257
23,63.6,4.123
24,56.8,0.83
25,0.1,0.047
26,0.1,0.072
27,0.1,0.29
28,0.2,0.214
29,0.2,0.815
30,14.6,0.227
31,10.9,1.057
32,17.5,0.702
33,23.3,0.775
34,11.8,0.324
35,34.6,0.203
36,7.2,0.254
37,5.5,0.517
38,1.6,0.443
39,15.1,0.399
40,3.7,0.139
41,2.2,0.128
42,1.7,0.168
