"g2360","g2370","g2371","g2885","g2905","g2910","g2920","g2970","g2975","year","month"
478,NA,534,NA,NA,407,925,680,NA,1970,1
381.5,NA,405,NA,NA,668.5,1087,903.5,NA,1970,2
485,NA,585,NA,NA,994,1269,1122,NA,1970,3
286,NA,280.5,NA,NA,825.5,1109.5,940.5,NA,1970,4
187,NA,147,NA,NA,644,871,688,NA,1970,5
122.5,NA,100.5,NA,NA,383,477,334.5,NA,1970,6
82,NA,64,NA,NA,304,281,198,NA,1970,7
53,NA,45,NA,NA,265,174,126,NA,1970,8
44,NA,38,NA,NA,246,132.5,92.5,NA,1970,9
94,NA,77,NA,NA,242,230,155,NA,1970,10
177,NA,141.5,NA,NA,364,524,348,NA,1970,11
173,NA,138,NA,NA,281,473,312,NA,1970,12
152,NA,115,NA,NA,366,468,317,NA,1971,1
198,NA,169,NA,NA,566.5,626,456,NA,1971,2
239,NA,208,NA,NA,687,766,570,NA,1971,3
293,NA,281.5,NA,NA,934.5,945,785,NA,1971,4
154,NA,131,NA,NA,826,746,566,NA,1971,5
93.5,NA,72.5,NA,NA,527,419,295,NA,1971,6
52,NA,42,NA,NA,360,215,155,NA,1971,7
36,NA,34,NA,NA,320,137,97,NA,1971,8
24.5,NA,28,NA,NA,291,104,75,NA,1971,9
73,NA,58,NA,131,292,142,97,143,1971,10
177,NA,144.5,NA,319,346.5,478.5,296,299.5,1971,11
278,NA,255,NA,554,343,739,517,477,1971,12
218,NA,183,NA,600,544,791,577,534,1972,1
260,NA,237,NA,701,738,897,670,611,1972,2
309,NA,305,NA,873,828,1052,868,784,1972,3
283,NA,278,NA,854,924.5,1042,867,780.5,1972,4
133,NA,99,NA,495,605,703,522,493,1972,5
89,NA,69.5,NA,276.5,402,399.5,276.5,285,1972,6
57,NA,50,NA,173,334,222,161,198,1972,7
41,NA,38,NA,132,300,163,108,164,1972,8
28,NA,32,NA,112.5,275.5,126.5,88,138,1972,9
73,NA,60,NA,128,257,131,86,132,1972,10
98,NA,75.5,NA,180,256.5,238,152.5,185.5,1972,11
153,NA,123,NA,294,257,404,268,279,1972,12
275,NA,252,NA,671,480,872,649,597,1973,1
